commodity,location,year,unit,price
CATTLE,16,2005,$ / CWT,81.30
"CATTLE, (EXCL CALVES)",16,2005,$ / CWT,81.3
HOGS,16,2005,$ / CWT,48.9
ONIONS,16,2005,$ / CWT,8.00
"ONIONS, DRY",16,2005,$ / CWT,8.00
"ONIONS, DRY, SUMMER",16,2005,$ / CWT,8.00
"ONIONS, DRY, SUMMER, STORAGE",16,2005,$ / CWT,8
SHEEP,16,2005,$ / CWT,73.50
"SHEEP, (EXCL LAMBS)",16,2005,$ / CWT,42
"SHEEP, LAMBS",16,2005,$ / CWT,105
WOOL,16,2005,$ / LB,0.75
CATTLE,30,2005,$ / CWT,104.00
"CATTLE, (EXCL CALVES)",30,2005,$ / CWT,104
HOGS,30,2005,$ / CWT,53.1
SHEEP,30,2005,$ / CWT,83.65
"SHEEP, (EXCL LAMBS)",30,2005,$ / CWT,43.3
"SHEEP, LAMBS",30,2005,$ / CWT,124
WOOL,30,2005,$ / LB,0.98
BEANS,41,2005,$ / TON,188.00
"BEANS, SNAP",41,2005,$ / TON,188.00
"BEANS, SNAP, PROCESSING",41,2005,$ / TON,188
CATTLE,41,2005,$ / CWT,85.90
"CATTLE, (EXCL CALVES)",41,2005,$ / CWT,85.9
GARLIC,41,2005,$ / CWT,22
HOGS,41,2005,$ / CWT,53.2
PEAS,41,2005,$ / TON,172.00
"PEAS, GREEN",41,2005,$ / TON,172.00
"PEAS, GREEN, PROCESSING",41,2005,$ / TON,172
SHEEP,41,2005,$ / CWT,71.10
"SHEEP, (EXCL LAMBS)",41,2005,$ / CWT,41.2
"SHEEP, LAMBS",41,2005,$ / CWT,101
SQUASH,41,2005,$ / CWT,20.5
STRAWBERRIES,41,2005,$ / CWT,54.7
"STRAWBERRIES, FRESH MARKET",41,2005,$ / CWT,118
"STRAWBERRIES, PROCESSING",41,2005,$ / CWT,48
SWEET CORN,41,2005,$ / CWT,21.00
SWEET CORN,41,2005,$ / TON,79.20
"SWEET CORN, FRESH MARKET",41,2005,$ / CWT,21
"SWEET CORN, PROCESSING",41,2005,$ / TON,79.2
WOOL,41,2005,$ / LB,0.64
ASPARAGUS,53,2005,$ / CWT,51.8
ASPARAGUS,53,2005,$ / TON,1120.00
"ASPARAGUS, FRESH MARKET",53,2005,$ / CWT,49
"ASPARAGUS, PROCESSING",53,2005,$ / TON,1120
CARROTS,53,2005,$ / TON,74.00
"CARROTS, PROCESSING",53,2005,$ / TON,74
CATTLE,53,2005,$ / CWT,103.00
"CATTLE, (EXCL CALVES)",53,2005,$ / CWT,103
HOGS,53,2005,$ / CWT,48.9
ONIONS,53,2005,$ / CWT,16.20
"ONIONS, DRY",53,2005,$ / CWT,16.20
"ONIONS, DRY, SUMMER",53,2005,$ / CWT,16.20
"ONIONS, DRY, SUMMER, NON-STORAGE",53,2005,$ / CWT,23.6
"ONIONS, DRY, SUMMER, STORAGE",53,2005,$ / CWT,8.8
PEAS,53,2005,$ / TON,193.00
"PEAS, GREEN",53,2005,$ / TON,193.00
"PEAS, GREEN, PROCESSING",53,2005,$ / TON,193
SHEEP,53,2005,$ / CWT,74.00
"SHEEP, (EXCL LAMBS)",53,2005,$ / CWT,40
"SHEEP, LAMBS",53,2005,$ / CWT,108
STRAWBERRIES,53,2005,$ / CWT,47.1
"STRAWBERRIES, FRESH MARKET",53,2005,$ / CWT,113
"STRAWBERRIES, PROCESSING",53,2005,$ / CWT,36
SWEET CORN,53,2005,$ / CWT,26.20
SWEET CORN,53,2005,$ / TON,69.00
"SWEET CORN, FRESH MARKET",53,2005,$ / CWT,26.2
"SWEET CORN, PROCESSING",53,2005,$ / TON,69
WOOL,53,2005,$ / LB,0.68
CATTLE,16,2006,$ / CWT,78.20
"CATTLE, (EXCL CALVES)",16,2006,$ / CWT,78.2
HOGS,16,2006,$ / CWT,46.5
ONIONS,16,2006,$ / CWT,17.10
"ONIONS, DRY",16,2006,$ / CWT,17.10
"ONIONS, DRY, SUMMER",16,2006,$ / CWT,17.10
"ONIONS, DRY, SUMMER, STORAGE",16,2006,$ / CWT,17.1
SHEEP,16,2006,$ / CWT,56.70
"SHEEP, (EXCL LAMBS)",16,2006,$ / CWT,27.6
"SHEEP, LAMBS",16,2006,$ / CWT,85.8
WOOL,16,2006,$ / LB,0.71
CATTLE,30,2006,$ / CWT,93.80
"CATTLE, (EXCL CALVES)",30,2006,$ / CWT,93.8
HOGS,30,2006,$ / CWT,47.9
SHEEP,30,2006,$ / CWT,63.85
"SHEEP, (EXCL LAMBS)",30,2006,$ / CWT,25.7
"SHEEP, LAMBS",30,2006,$ / CWT,102
WOOL,30,2006,$ / LB,0.91
BEANS,41,2006,$ / TON,175.00
"BEANS, SNAP",41,2006,$ / TON,175.00
"BEANS, SNAP, PROCESSING",41,2006,$ / TON,175
CATTLE,41,2006,$ / CWT,82.30
"CATTLE, (EXCL CALVES)",41,2006,$ / CWT,82.3
GARLIC,41,2006,$ / CWT,23.2
HOGS,41,2006,$ / CWT,50
PEAS,41,2006,$ / TON,174.00
"PEAS, GREEN",41,2006,$ / TON,174.00
"PEAS, GREEN, PROCESSING",41,2006,$ / TON,174
SHEEP,41,2006,$ / CWT,63.15
"SHEEP, (EXCL LAMBS)",41,2006,$ / CWT,36.7
"SHEEP, LAMBS",41,2006,$ / CWT,89.6
SQUASH,41,2006,$ / CWT,18.6
STRAWBERRIES,41,2006,$ / CWT,69.1
"STRAWBERRIES, FRESH MARKET",41,2006,$ / CWT,134
"STRAWBERRIES, PROCESSING",41,2006,$ / CWT,57
SWEET CORN,41,2006,$ / CWT,20.00
SWEET CORN,41,2006,$ / TON,81.80
"SWEET CORN, FRESH MARKET",41,2006,$ / CWT,20
"SWEET CORN, PROCESSING",41,2006,$ / TON,81.8
WOOL,41,2006,$ / LB,0.59
ASPARAGUS,53,2006,$ / CWT,50
ASPARAGUS,53,2006,$ / TON,1240.00
"ASPARAGUS, FRESH MARKET",53,2006,$ / CWT,49.5
"ASPARAGUS, PROCESSING",53,2006,$ / TON,1240
CARROTS,53,2006,$ / TON,70.00
"CARROTS, PROCESSING",53,2006,$ / TON,70
CATTLE,53,2006,$ / CWT,96.40
"CATTLE, (EXCL CALVES)",53,2006,$ / CWT,96.4
HOGS,53,2006,$ / CWT,46.2
ONIONS,53,2006,$ / CWT,21.70
"ONIONS, DRY",53,2006,$ / CWT,21.70
"ONIONS, DRY, SUMMER",53,2006,$ / CWT,21.70
"ONIONS, DRY, SUMMER, NON-STORAGE",53,2006,$ / CWT,22.4
"ONIONS, DRY, SUMMER, STORAGE",53,2006,$ / CWT,21
PEAS,53,2006,$ / TON,172.00
"PEAS, GREEN",53,2006,$ / TON,172.00
"PEAS, GREEN, PROCESSING",53,2006,$ / TON,172
SHEEP,53,2006,$ / CWT,62.50
"SHEEP, (EXCL LAMBS)",53,2006,$ / CWT,33
"SHEEP, LAMBS",53,2006,$ / CWT,92
STRAWBERRIES,53,2006,$ / CWT,60.4
"STRAWBERRIES, FRESH MARKET",53,2006,$ / CWT,91.5
"STRAWBERRIES, PROCESSING",53,2006,$ / CWT,55.6
SWEET CORN,53,2006,$ / CWT,26.70
SWEET CORN,53,2006,$ / TON,66.60
"SWEET CORN, FRESH MARKET",53,2006,$ / CWT,26.7
"SWEET CORN, PROCESSING",53,2006,$ / TON,66.6
WOOL,53,2006,$ / LB,0.75
ARTICHOKES,06,2007,$ / CWT,55
ASPARAGUS,06,2007,$ / CWT,121
"ASPARAGUS, FRESH MARKET",06,2007,$ / CWT,121
BEANS,06,2007,$ / CWT,67.70
"BEANS, SNAP",06,2007,$ / CWT,67.70
"BEANS, SNAP, FRESH MARKET",06,2007,$ / CWT,67.7
BROCCOLI,06,2007,$ / CWT,35.4
BROCCOLI,06,2007,$ / TON,516.00
"BROCCOLI, FRESH MARKET",06,2007,$ / CWT,35.9
"BROCCOLI, PROCESSING",06,2007,$ / TON,516
CABBAGE,06,2007,$ / CWT,14.80
"CABBAGE, FRESH MARKET",06,2007,$ / CWT,14.8
CARROTS,06,2007,$ / CWT,22.40
CARROTS,06,2007,$ / TON,80.00
"CARROTS, FRESH MARKET",06,2007,$ / CWT,22.4
"CARROTS, PROCESSING",06,2007,$ / TON,80
CATTLE,06,2007,$ / CWT,71.40
"CATTLE, (EXCL CALVES)",06,2007,$ / CWT,71.4
CAULIFLOWER,06,2007,$ / CWT,33.2
CAULIFLOWER,06,2007,$ / TON,540.00
"CAULIFLOWER, FRESH MARKET",06,2007,$ / CWT,33.4
"CAULIFLOWER, PROCESSING",06,2007,$ / TON,540
CELERY,06,2007,$ / CWT,20.7
CUCUMBERS,06,2007,$ / CWT,22.20
"CUCUMBERS, FRESH MARKET",06,2007,$ / CWT,22.2
GARLIC,06,2007,$ / CWT,42.9
HOGS,06,2007,$ / CWT,48.8
LETTUCE,06,2007,$ / CWT,24.27
"LETTUCE, HEAD",06,2007,$ / CWT,22.00
"LETTUCE, HEAD, FRESH MARKET",06,2007,$ / CWT,22
"LETTUCE, LEAF",06,2007,$ / CWT,28.40
"LETTUCE, LEAF, FRESH MARKET",06,2007,$ / CWT,28.4
"LETTUCE, ROMAINE",06,2007,$ / CWT,22.40
"LETTUCE, ROMAINE, FRESH MARKET",06,2007,$ / CWT,22.4
MELONS,06,2007,$ / CWT,13.57
"MELONS, CANTALOUP",06,2007,$ / CWT,12.70
"MELONS, CANTALOUP, FRESH MARKET",06,2007,$ / CWT,12.7
"MELONS, HONEYDEW",06,2007,$ / CWT,16.70
"MELONS, HONEYDEW, FRESH MARKET",06,2007,$ / CWT,16.7
"MELONS, WATERMELON",06,2007,$ / CWT,11.30
"MELONS, WATERMELON, FRESH MARKET",06,2007,$ / CWT,11.3
MOHAIR,06,2007,$ / LB,7.00
"MOHAIR, ANGORA",06,2007,$ / LB,7
ONIONS,06,2007,$ / CWT,10.11
"ONIONS, DRY",06,2007,$ / CWT,10.11
"ONIONS, DRY, SPRING",06,2007,$ / CWT,11
"ONIONS, DRY, SUMMER",06,2007,$ / CWT,9.22
"ONIONS, DRY, SUMMER, NON-STORAGE",06,2007,$ / CWT,9.9
"ONIONS, DRY, SUMMER, STORAGE",06,2007,$ / CWT,8.53
PEPPERS,06,2007,$ / CWT,31.45
"PEPPERS, BELL",06,2007,$ / CWT,28.5
"PEPPERS, CHILE",06,2007,$ / CWT,34.4
PUMPKINS,06,2007,$ / CWT,10.5
SHEEP,06,2007,$ / CWT,60.05
"SHEEP, (EXCL LAMBS)",06,2007,$ / CWT,29.6
"SHEEP, LAMBS",06,2007,$ / CWT,90.5
SPINACH,06,2007,$ / CWT,32.00
SPINACH,06,2007,$ / TON,118.00
"SPINACH, FRESH MARKET",06,2007,$ / CWT,32
"SPINACH, PROCESSING",06,2007,$ / TON,118
SQUASH,06,2007,$ / CWT,24.7
STRAWBERRIES,06,2007,$ / CWT,65.5
"STRAWBERRIES, FRESH MARKET",06,2007,$ / CWT,75.7
"STRAWBERRIES, PROCESSING",06,2007,$ / CWT,25.5
SWEET CORN,06,2007,$ / CWT,23.90
"SWEET CORN, FRESH MARKET",06,2007,$ / CWT,23.9
TOMATOES,06,2007,$ / CWT,33.70
TOMATOES,06,2007,$ / TON,70.30
"TOMATOES, FRESH MARKET",06,2007,$ / CWT,33.7
"TOMATOES, PROCESSING",06,2007,$ / TON,70.3
TURKEYS,06,2007,$ / LB,0.47
WOOL,06,2007,$ / LB,0.85
CATTLE,16,2007,$ / CWT,82.00
"CATTLE, (EXCL CALVES)",16,2007,$ / CWT,82
HOGS,16,2007,$ / CWT,46.8
ONIONS,16,2007,$ / CWT,2.70
"ONIONS, DRY",16,2007,$ / CWT,2.70
"ONIONS, DRY, SUMMER",16,2007,$ / CWT,2.70
"ONIONS, DRY, SUMMER, STORAGE",16,2007,$ / CWT,2.7
SHEEP,16,2007,$ / CWT,61.25
"SHEEP, (EXCL LAMBS)",16,2007,$ / CWT,24.3
"SHEEP, LAMBS",16,2007,$ / CWT,98.2
WOOL,16,2007,$ / LB,0.94
CATTLE,30,2007,$ / CWT,89.80
"CATTLE, (EXCL CALVES)",30,2007,$ / CWT,89.8
HOGS,30,2007,$ / CWT,47.9
SHEEP,30,2007,$ / CWT,62.45
"SHEEP, (EXCL LAMBS)",30,2007,$ / CWT,23.9
"SHEEP, LAMBS",30,2007,$ / CWT,101
WOOL,30,2007,$ / LB,1.3
BEANS,41,2007,$ / TON,202.00
"BEANS, SNAP",41,2007,$ / TON,202.00
"BEANS, SNAP, PROCESSING",41,2007,$ / TON,202
CATTLE,41,2007,$ / CWT,78.60
"CATTLE, (EXCL CALVES)",41,2007,$ / CWT,78.6
GARLIC,41,2007,$ / CWT,22.8
HOGS,41,2007,$ / CWT,50.1
PEAS,41,2007,$ / TON,199.00
"PEAS, GREEN",41,2007,$ / TON,199.00
"PEAS, GREEN, PROCESSING",41,2007,$ / TON,199
SHEEP,41,2007,$ / CWT,63.55
"SHEEP, (EXCL LAMBS)",41,2007,$ / CWT,31.8
"SHEEP, LAMBS",41,2007,$ / CWT,95.3
SQUASH,41,2007,$ / CWT,18.5
STRAWBERRIES,41,2007,$ / CWT,66.3
"STRAWBERRIES, FRESH MARKET",41,2007,$ / CWT,134
"STRAWBERRIES, PROCESSING",41,2007,$ / CWT,58
SWEET CORN,41,2007,$ / CWT,21.40
SWEET CORN,41,2007,$ / TON,88.40
"SWEET CORN, FRESH MARKET",41,2007,$ / CWT,21.4
"SWEET CORN, PROCESSING",41,2007,$ / TON,88.4
WOOL,41,2007,$ / LB,0.56
ASPARAGUS,53,2007,$ / CWT,59.1
CARROTS,53,2007,$ / TON,73.00
"CARROTS, PROCESSING",53,2007,$ / TON,73
CATTLE,53,2007,$ / CWT,92.90
"CATTLE, (EXCL CALVES)",53,2007,$ / CWT,92.9
HOGS,53,2007,$ / CWT,47.8
ONIONS,53,2007,$ / CWT,17.83
"ONIONS, DRY",53,2007,$ / CWT,17.83
"ONIONS, DRY, SUMMER",53,2007,$ / CWT,17.83
"ONIONS, DRY, SUMMER, NON-STORAGE",53,2007,$ / CWT,32.5
"ONIONS, DRY, SUMMER, STORAGE",53,2007,$ / CWT,3.15
PEAS,53,2007,$ / TON,199.00
"PEAS, GREEN",53,2007,$ / TON,199.00
"PEAS, GREEN, PROCESSING",53,2007,$ / TON,199
SHEEP,53,2007,$ / CWT,65.00
"SHEEP, (EXCL LAMBS)",53,2007,$ / CWT,30
"SHEEP, LAMBS",53,2007,$ / CWT,100
STRAWBERRIES,53,2007,$ / CWT,65.4
"STRAWBERRIES, FRESH MARKET",53,2007,$ / CWT,146
"STRAWBERRIES, PROCESSING",53,2007,$ / CWT,53.7
SWEET CORN,53,2007,$ / CWT,27.90
SWEET CORN,53,2007,$ / TON,72.70
"SWEET CORN, FRESH MARKET",53,2007,$ / CWT,27.9
"SWEET CORN, PROCESSING",53,2007,$ / TON,72.7
WOOL,53,2007,$ / LB,1.1
ARTICHOKES,06,2008,$ / CWT,47.8
ASPARAGUS,06,2008,$ / CWT,125
"ASPARAGUS, FRESH MARKET",06,2008,$ / CWT,125
BEANS,06,2008,$ / CWT,66.50
"BEANS, SNAP",06,2008,$ / CWT,66.50
"BEANS, SNAP, FRESH MARKET",06,2008,$ / CWT,66.5
BROCCOLI,06,2008,$ / CWT,35.7
BROCCOLI,06,2008,$ / TON,576.00
"BROCCOLI, FRESH MARKET",06,2008,$ / CWT,36
"BROCCOLI, PROCESSING",06,2008,$ / TON,576
CABBAGE,06,2008,$ / CWT,14.20
"CABBAGE, FRESH MARKET",06,2008,$ / CWT,14.2
CARROTS,06,2008,$ / CWT,25.20
CARROTS,06,2008,$ / TON,110.00
"CARROTS, FRESH MARKET",06,2008,$ / CWT,25.2
"CARROTS, PROCESSING",06,2008,$ / TON,110
CATTLE,06,2008,$ / CWT,87.45
"CATTLE, CALVES",06,2008,$ / CWT,102
"CATTLE, (EXCL CALVES)",06,2008,$ / CWT,72.9
CAULIFLOWER,06,2008,$ / CWT,39.9
CAULIFLOWER,06,2008,$ / TON,566.00
"CAULIFLOWER, FRESH MARKET",06,2008,$ / CWT,40.2
"CAULIFLOWER, PROCESSING",06,2008,$ / TON,566
CELERY,06,2008,$ / CWT,18.6
CUCUMBERS,06,2008,$ / CWT,25.90
"CUCUMBERS, FRESH MARKET",06,2008,$ / CWT,25.9
GARLIC,06,2008,$ / CWT,45.2
HOGS,06,2008,$ / CWT,48
LETTUCE,06,2008,$ / CWT,24.50
"LETTUCE, HEAD",06,2008,$ / CWT,21.30
"LETTUCE, HEAD, FRESH MARKET",06,2008,$ / CWT,21.3
"LETTUCE, LEAF",06,2008,$ / CWT,31.10
"LETTUCE, LEAF, FRESH MARKET",06,2008,$ / CWT,31.1
"LETTUCE, ROMAINE",06,2008,$ / CWT,21.10
"LETTUCE, ROMAINE, FRESH MARKET",06,2008,$ / CWT,21.1
MELONS,06,2008,$ / CWT,15.07
"MELONS, CANTALOUP",06,2008,$ / CWT,15.30
"MELONS, CANTALOUP, FRESH MARKET",06,2008,$ / CWT,15.3
"MELONS, HONEYDEW",06,2008,$ / CWT,14.00
"MELONS, HONEYDEW, FRESH MARKET",06,2008,$ / CWT,14
"MELONS, WATERMELON",06,2008,$ / CWT,15.90
"MELONS, WATERMELON, FRESH MARKET",06,2008,$ / CWT,15.9
MOHAIR,06,2008,$ / LB,4.00
"MOHAIR, ANGORA",06,2008,$ / LB,4
ONIONS,06,2008,$ / CWT,8.70
"ONIONS, DRY",06,2008,$ / CWT,8.70
"ONIONS, DRY, SPRING",06,2008,$ / CWT,8.6
"ONIONS, DRY, SUMMER",06,2008,$ / CWT,8.81
"ONIONS, DRY, SUMMER, NON-STORAGE",06,2008,$ / CWT,8.6
"ONIONS, DRY, SUMMER, STORAGE",06,2008,$ / CWT,9.01
PEPPERS,06,2008,$ / CWT,30.20
"PEPPERS, BELL",06,2008,$ / CWT,36.1
"PEPPERS, CHILE",06,2008,$ / CWT,24.3
PUMPKINS,06,2008,$ / CWT,12.5
SPINACH,06,2008,$ / CWT,34.00
SPINACH,06,2008,$ / TON,126.00
"SPINACH, FRESH MARKET",06,2008,$ / CWT,34
"SPINACH, PROCESSING",06,2008,$ / TON,126
SQUASH,06,2008,$ / CWT,29.7
STRAWBERRIES,06,2008,$ / CWT,69.6
"STRAWBERRIES, FRESH MARKET",06,2008,$ / CWT,77.3
"STRAWBERRIES, PROCESSING",06,2008,$ / CWT,34.4
SWEET CORN,06,2008,$ / CWT,23.60
"SWEET CORN, FRESH MARKET",06,2008,$ / CWT,23.6
TOMATOES,06,2008,$ / CWT,33.30
TOMATOES,06,2008,$ / TON,78.60
"TOMATOES, FRESH MARKET",06,2008,$ / CWT,33.3
"TOMATOES, PROCESSING",06,2008,$ / TON,78.6
TURKEYS,06,2008,$ / LB,0.58
WOOL,06,2008,$ / LB,1.1
CATTLE,16,2008,$ / CWT,91.65
"CATTLE, CALVES",16,2008,$ / CWT,102
"CATTLE, (EXCL CALVES)",16,2008,$ / CWT,81.3
HOGS,16,2008,$ / CWT,47.1
ONIONS,16,2008,$ / CWT,7.40
"ONIONS, DRY",16,2008,$ / CWT,7.40
"ONIONS, DRY, SUMMER",16,2008,$ / CWT,7.40
"ONIONS, DRY, SUMMER, STORAGE",16,2008,$ / CWT,7.4
WOOL,16,2008,$ / LB,1.14
CATTLE,30,2008,$ / CWT,98.25
"CATTLE, CALVES",30,2008,$ / CWT,109
"CATTLE, (EXCL CALVES)",30,2008,$ / CWT,87.5
HOGS,30,2008,$ / CWT,47.1
WOOL,30,2008,$ / LB,1.4
BEANS,41,2008,$ / TON,236.00
"BEANS, SNAP",41,2008,$ / TON,236.00
"BEANS, SNAP, PROCESSING",41,2008,$ / TON,236
CATTLE,41,2008,$ / CWT,87.80
"CATTLE, CALVES",41,2008,$ / CWT,98
"CATTLE, (EXCL CALVES)",41,2008,$ / CWT,77.6
GARLIC,41,2008,$ / CWT,30
HOGS,41,2008,$ / CWT,53
PEAS,41,2008,$ / TON,263.00
"PEAS, GREEN",41,2008,$ / TON,263.00
"PEAS, GREEN, PROCESSING",41,2008,$ / TON,263
SQUASH,41,2008,$ / CWT,17.9
STRAWBERRIES,41,2008,$ / CWT,70.5
"STRAWBERRIES, FRESH MARKET",41,2008,$ / CWT,172
"STRAWBERRIES, PROCESSING",41,2008,$ / CWT,58
SWEET CORN,41,2008,$ / CWT,24.90
SWEET CORN,41,2008,$ / TON,126.00
"SWEET CORN, FRESH MARKET",41,2008,$ / CWT,24.9
"SWEET CORN, PROCESSING",41,2008,$ / TON,126
WOOL,41,2008,$ / LB,0.68
ASPARAGUS,53,2008,$ / CWT,67.1
CARROTS,53,2008,$ / TON,80.00
"CARROTS, PROCESSING",53,2008,$ / TON,80
CATTLE,53,2008,$ / CWT,88.65
"CATTLE, CALVES",53,2008,$ / CWT,92.2
"CATTLE, (EXCL CALVES)",53,2008,$ / CWT,85.1
HOGS,53,2008,$ / CWT,44.6
ONIONS,53,2008,$ / CWT,20.50
"ONIONS, DRY",53,2008,$ / CWT,20.50
"ONIONS, DRY, SUMMER",53,2008,$ / CWT,20.50
