location,BARLEY,"BARLEY, IRRIGATED","BARLEY, NON-IRRIGATED","BEANS, DRY EDIBLE","BEANS, DRY EDIBLE, IRRIGATED","BEANS, DRY EDIBLE, LIMA","BEANS, DRY EDIBLE, LIMA, IRRIGATED","BEANS, DRY EDIBLE, LIMA, NON-IRRIGATED","BEANS, DRY EDIBLE, NON-IRRIGATED","CORN, GRAIN","CORN, GRAIN, IRRIGATED","CORN, GRAIN, NON-IRRIGATED","CORN, SILAGE","CORN, SILAGE, IRRIGATED","CORN, SILAGE, NON-IRRIGATED","HAY, ALFALFA","HAY, ALFALFA, IRRIGATED","HAY, ALFALFA, NON-IRRIGATED","HAYLAGE, ALFALFA","HAYLAGE, ALFALFA, IRRIGATED","HAYLAGE, ALFALFA, NON-IRRIGATED","HAYLAGE, (EXCL ALFALFA)","HAYLAGE, (EXCL ALFALFA), IRRIGATED","HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",LENTILS,"LENTILS, IRRIGATED","LENTILS, NON-IRRIGATED",OATS,"OATS, IRRIGATED","OATS, NON-IRRIGATED",POTATOES,"SUGARBEETS, IRRIGATED","SUGARBEETS, NON-IRRIGATED","WHEAT, WINTER","WHEAT, WINTER, IRRIGATED","WHEAT, WINTER, NON-IRRIGATED"
06001,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,
06005,,,,,,,,,,,,,,,,,5.16,2.28,,,,,,,2.40,,,,,,,,,408.50,,,,,
06007,,,,2222.00,,,,,,,186.07,162.70,27.20,,,,6.56,2.90,,,,,9.44,7.45,,3.69,1.77,,,,,,,408.50,,,,86.50,60.25
06009,,,,,,,,,,,,,,,,6.89,,,,,,,,,2.86,,,,,,,,,,,,,,
06011,,,,,1574.00,,,,1881.33,,186.07,198.30,,,,,7.27,3.21,,,,,,,1.99,,,,,,,,,,,,74.30,,
06013,,,,,,,,,,,186.07,141.00,21.22,,,,5.57,2.46,,,,,,,,2.81,1.35,,,,,,,,,,,,
06017,,,,,1970.00,,,,2152.50,,186.07,191.70,,,,,,,,,,,,,,,,,,,,,,408.50,,,,,
06019,,88.85,36.17,,2074.00,,,,2446.00,,186.07,165.83,,24.29,21.89,,7.39,3.26,5.99,,,14.60,,,3.40,,,,,,,125.11,73.44,408.50,,,88.76,,
06021,85.36,,,,2269.00,,,,2789.67,,186.07,211.96,27.05,,,,6.79,3.00,,,,,13.80,10.88,,2.63,1.26,,,,76.15,,,,,,,92.71,60.53
06023,,,,,1970.00,,,,2152.50,,186.07,183.25,21.67,,,,7.02,3.10,,8.66,5.92,,7.80,6.15,,4.60,2.20,,,,,,,408.50,,,,,
06033,,,,,,,,,,,,,,0.50,0.45,4.07,,,,,,,,,,4.06,1.94,,,,,,,408.50,,,,,
06035,,,,,,,,,,,,,,,,,4.06,1.79,,1.00,0.68,,,,,3.44,1.65,,,,,,,,,,55.35,,
06039,88.47,,,,2231.00,,,,2402.20,,186.07,163.00,25.59,,,,7.25,3.20,4.34,,,14.46,,,,6.62,3.17,,,,,120.58,70.78,,,,,86.13,60.48
06041,,,,,,,,,,,,,,,,,,,,,,,14.17,11.18,,,,,,,,,,408.50,,,,,
06045,,,,,,,,,,,,,,,,,5.63,2.49,,,,,8.94,7.05,,3.10,1.48,,,,,,,408.50,,,,,
06047,45.64,,,,2188.00,,2250.00,2250.00,2189.33,,186.07,188.43,,26.34,23.74,,7.25,3.20,,7.46,5.10,,13.96,11.01,4.94,,,,,,,107.50,63.10,408.50,,,,99.26,58.64
06049,,121.35,42.40,,,,,,,,,,,,,,4.36,1.93,,,,,,,,2.54,1.22,,,,,,,,,,,100.89,0.00
06051,,,,,,,,,,,,,,,,,5.29,2.34,,,,,,,,,,,,,,,,,,,,,
06055,,,,,,,,,,,186.07,141.00,,,,,,,,,,,,,,1.55,0.74,,,,,,,408.50,,,,,
06057,,,,,2600.00,,,,,,186.07,191.70,,,,,,,,,,,1.96,1.55,,1.89,0.91,,,,,,,408.50,,,,,
06061,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,2.03,,,,,,,408.50,,,,,
06063,,,,,,,,,,,,,,,,,3.32,1.47,,,,,,,,1.60,0.77,,,,,,,408.50,,,,,
06067,60.50,,,,,,,,,,186.07,171.85,,24.22,21.83,,6.81,3.01,7.97,,,6.88,,,,2.79,1.34,,,,,,,408.50,,,,,
06077,,66.61,24.10,,2329.00,,2400.00,2400.00,2124.75,,186.07,179.77,,26.96,24.30,,6.75,2.99,,8.06,5.51,,13.78,10.87,,4.43,2.12,,,,,106.21,62.35,408.50,,,,102.06,61.01
06081,,,,,,,,,,,,,,15.00,13.52,,,,,,,,,,,4.72,2.26,,,,123.00,,,408.50,,,,,
06089,,,,,,,,,,,186.07,183.25,,,,,4.40,1.95,,3.74,2.56,4.69,,,,3.83,1.83,,,,,,,408.50,,,,,
06091,,,,,,,,,,,,,,,,2.89,,,,,,,,,,2.78,1.33,,,,,,,,,,,,
06093,,89.84,59.23,,,,,,,,,,,,,,4.64,2.05,,,,,,,,2.59,1.24,,,,,,,408.50,,,,,
06095,55.82,,,,2028.00,,,,2142.67,,186.07,190.13,,32.89,29.64,,6.69,2.96,,,,,7.51,5.92,,3.71,1.78,,,,,,,408.50,,,,73.44,54.57
06097,,,,,2333.00,,2500.00,2500.00,2114.33,,186.07,141.00,31.83,,,4.98,,,,10.07,6.89,,14.31,11.29,,3.25,1.55,,,,56.06,,,408.50,,,19.14,,
06099,69.15,,,,2232.00,,2530.00,2530.00,2400.50,,186.07,139.20,,26.55,23.93,,7.11,3.14,7.02,,,12.74,,,,5.80,2.78,,,,,109.71,64.40,408.50,,,,82.35,57.83
06101,,,,,1892.00,,2114.00,2114.00,1742.40,,186.07,207.63,,,,,6.14,2.71,,,,,,,,4.00,1.91,,,,64.14,,,408.50,,,,98.31,67.25
06103,,,,,,,,,,,186.07,223.30,,26.96,24.30,,5.43,2.40,,,,,,,,2.64,1.26,,,,76.67,,,,,,,,
06105,,,,,,,,,,,,,,,,,0.95,0.42,,,,,0.75,0.59,,2.11,1.01,,,,,,,408.50,,,,,
06109,,,,,1970.00,,,,2152.50,,186.07,191.70,,5.00,4.51,,,,,,,,,,,,,,,,,,,408.50,,,,,
06113,,68.10,27.43,2321.00,,2185.00,,,,,186.07,186.99,,25.61,23.08,,6.78,3.00,,,,5.01,,,,3.51,1.68,,,,,149.62,87.83,408.50,,,,84.02,51.92
06115,,,,,,,,,,,,,29.71,,,4.81,,,,,,,,,,,,,,,53.57,,,,,,86.00,,
16001,,109.02,41.93,,2600.00,,,,2460.00,,191.15,184.03,,27.03,28.37,4.33,,,,7.90,3.06,,9.97,3.23,,2.24,1.68,,,,,103.88,65.27,523.00,34.75,38.11,,115.75,27.19
16003,,,,,,,,,,,,,,,,,3.00,0.99,,,,,,,,2.02,1.52,,,,,,,,,,19.44,,
16009,67.30,,,,,,,,,,,,,,,,,,,,,1.40,,,1.99,,,1150.00,,,,116.66,73.30,395.00,,,65.76,,
16013,,115.67,23.30,,,,,,,,,,,,,,3.79,2.52,,,,,3.66,1.18,,1.68,1.26,,,,,,,,,,,,
16015,,,,,,,,,,,,,,,,,4.03,1.61,,,,,,,1.41,,,,,,,,,,,,,,
16017,,,,,,,,,,,,,,,,,2.76,1.55,1.36,,,5.13,,,,1.78,1.33,,,,56.67,,,395.00,,,,,
16021,71.75,,,,,,,,,,,,,,,2.63,,,,,,,,,2.31,,,,,,66.42,,,395.00,,,73.81,,
16023,,97.38,27.18,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,97.95,61.55,372.71,,,,98.12,29.31
16025,,75.13,15.13,,,,,,,,,,,,,,2.05,0.87,,,,,,,0.57,,,,,,,,,,,,,,
16027,,108.24,38.83,,2600.00,,,,2560.00,,191.15,190.97,,27.03,28.77,5.38,,,,6.44,2.50,,9.33,3.02,,1.78,1.34,,,,,117.03,73.54,528.60,34.75,38.24,,114.32,26.00
16031,118.33,,,,2405.00,,,,2451.25,,191.15,162.67,,27.03,27.40,,5.14,1.14,,8.54,3.31,,13.78,4.46,1.55,,,,,,103.81,,,,34.75,32.80,,114.10,30.15
16035,41.48,,,,,,,,,,,,,,,1.95,,,,,,8.29,,,1.49,,,,,,,,,,,,58.05,,
16037,,87.14,26.63,,,,,,,,,,,27.03,26.88,,2.90,0.83,,5.00,1.94,3.89,,,1.79,,,,,,,,,,,,,,
16039,,,,,2355.00,,,,2250.00,,191.15,185.15,,27.03,28.75,,5.64,0.78,,,,,,,2.29,,,,,,100.00,,,,34.75,34.90,,99.16,24.64
16045,,74.17,28.53,,2355.00,,,,2535.00,,191.15,170.75,,27.03,26.30,,4.28,1.10,4.81,,,5.74,,,,2.30,1.72,,,,,91.01,57.19,,34.75,36.84,99.87,,
16047,,108.82,21.92,,2380.00,,,,2450.00,,191.15,165.30,,27.03,29.40,,5.43,0.94,,15.54,6.03,,8.57,2.77,,2.79,2.09,,,,,75.47,47.42,461.50,34.75,37.48,109.51,,
16049,53.18,,,1170.00,,,,,,,,,,,,,3.22,1.80,2.34,,,3.23,,,,2.00,1.50,1150.00,,,59.88,,,395.00,,,72.48,,
16053,,126.53,24.45,,2315.00,,,,2482.50,,191.15,152.35,,27.03,27.93,,5.56,1.24,,,,,,,,,,,,,144.78,,,448.17,34.75,34.27,114.00,,
16055,,82.04,57.12,1352.86,,,,,,,,,,,,,3.45,1.49,2.97,,,1.74,,,,1.99,1.49,,,,,66.35,41.69,,,,69.41,,
16057,60.83,,,1390.00,,,,,,,,,,,,,3.61,1.93,,,,,,,,2.59,1.94,1150.00,,,68.59,,,395.00,,,75.24,,
16059,85.45,,,,,,,,,,,,,,,,2.73,0.78,,2.32,0.90,,1.55,0.50,,1.87,1.40,,,,,48.14,30.25,372.71,,,,,
16061,64.45,,,895.00,,,,,,,,,,,,2.02,,,,,,,,,1.87,,,1150.00,,,67.61,,,,,,61.08,,
16063,119.20,,,,,,,,,,191.15,169.00,,27.03,27.75,,4.64,1.03,,8.77,3.40,2.73,,,1.48,,,,,,,83.96,52.76,440.14,34.75,31.13,,116.92,28.10
16067,,121.42,24.46,,2275.00,,,,2361.43,,191.15,160.30,,27.03,27.50,,5.78,1.28,,4.20,1.63,,18.38,5.95,,4.56,3.42,,,,,,,421.00,34.75,32.20,,105.26,25.29
16069,61.19,,,1306.00,,,,,,,,,,,,,38.96,21.70,,,,,,,2.15,,,1150.00,,,,,,395.00,,,70.25,,
16073,,106.87,46.16,,2600.00,,,,2647.50,,191.15,189.60,,27.03,29.20,,5.78,2.02,12.38,,,,9.78,3.17,,2.38,1.79,,,,,87.25,54.82,520.00,34.75,36.93,111.16,,
16075,,104.00,40.00,,2600.00,,,,2442.50,,191.15,197.63,,27.03,27.53,,4.59,0.99,10.21,,,,10.02,3.24,,2.46,1.85,,,,,,,445.00,34.75,36.84,102.38,,
16083,,122.86,24.75,,2420.00,,,,2453.75,,191.15,165.40,,27.03,26.15,,5.69,1.26,,12.19,4.73,8.75,,,,2.51,1.88,,,,,93.35,58.66,465.20,34.75,34.89,,121.64,29.23
16085,,,,,,,,,,,,,,,,,3.03,0.86,,,,,,,,1.35,1.01,,,,,100.00,62.84,523.00,,,,,
16087,,89.75,31.90,,2600.00,,,,2310.00,,191.15,166.35,,27.03,29.17,,4.23,1.14,,,,,,,,2.29,1.72,,,,43.68,,,,34.75,36.93,,109.82,26.70
30001,,76.30,37.74,,,,,,,,,,,,,,3.44,1.82,,,,,,,,1.91,1.26,,,,,84.62,33.62,320.00,,,,,
30023,,,,,,,,,,,,,,,,3.39,,,2.72,,,,,,,,,,,,,,,,,,,,
30029,,76.36,56.73,,,,,,,,,,,,,,3.57,2.18,1.64,,,1.37,,,,2.25,1.48,,,,66.01,,,,,,,79.03,65.23
30035,,43.60,30.05,,,,,,,,,,,,,,2.32,1.09,,,,,,,1.07,,,1183.33,,,44.04,,,,,,,38.07,31.92
30039,,,,,,,,,,,,,,,,2.81,,,,,,,,,1.68,,,,,,,,,,,,,,
30047,,71.69,34.47,,,,,,,,124.22,35.21,,,,,2.93,1.52,,,,,,,,1.79,1.18,,,,,82.02,34.81,338.60,,,,74.78,38.53
30049,66.82,,,,,,,,,,,,,,,,3.28,1.18,,2.99,1.36,1.15,,,,1.88,1.24,,,,,,,348.67,,,,,
30053,,21.87,15.14,,,,,,,,,,,,,,2.18,1.30,5.41,,,,,,,1.55,1.02,,,,,,,335.40,,,,,
30061,,,,,,,,,,,,,,,,,1.76,1.40,,,,4.04,,,,1.61,1.06,,,,,,,,,,,,
30063,43.58,,,,,,,,,,,,,,,,2.68,1.02,,2.74,1.24,,3.91,2.02,,1.33,0.87,,,,,,,335.40,,,,,
30073,,73.63,36.08,,,,,,,,,,,,,,2.82,0.98,,,,,,,1.47,,,,972.50,972.50,62.55,,,325.63,,,,66.76,37.04
30077,,85.64,59.31,,,,,,,,,,,,,,3.30,1.26,,,,,,,,1.82,1.20,,,,,,,,,,,,
30081,,75.96,52.60,,,,,,,,97.62,29.40,,27.33,11.14,,3.60,1.49,8.17,,,3.30,,,,2.05,1.35,,,,,110.37,41.22,335.40,,,,30.84,22.57
30089,,,,,,,,,,,,,,,,,2.74,0.93,,,,,,,,1.52,1.00,,,,,,,335.40,,,24.26,,
30099,,85.37,31.12,,,,,,,,,,19.49,,,,3.05,1.12,1.83,,,,2.35,1.22,,1.88,1.24,1016.67,,,28.00,,,325.63,,,,67.53,37.66
41001,,103.58,51.02,,,,,,,,,,,21.59,12.66,,3.94,2.18,,3.23,1.67,2.37,,,,2.11,1.72,,,,93.05,,,466.75,,,85.62,,
41003,,,,,,,,,,,,,,,,4.01,,,,,,6.51,,,,2.58,2.10,,,,62.94,,,,32.70,35.73,106.47,,
41005,33.13,,,,,,,,,,139.14,61.20,,17.49,10.25,,3.96,2.19,6.89,,,5.08,,,,2.66,2.16,,,,70.65,,,367.60,32.70,35.73,82.44,,
41007,,,,,,,,,,,,,,,,,,,,,,6.78,,,2.85,,,,,,,,,367.60,,,,,
41009,58.25,,,,,,,,,,,,,,,1.39,,,,2.87,1.48,15.73,,,,2.26,1.84,,,,,,,367.60,,,,,
41011,,,,,,,,,,,,,,,,,,,,,,,7.17,6.75,,2.51,2.04,,,,,,,561.25,,,,,
41013,,,,,,,,,,,,,,,,,4.29,2.37,,,,,,,,3.04,2.47,,,,,,,,,,,,
41015,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,2.68,,,,,,,561.25,,,,,
41017,,,,,2231.25,,,,2231.25,,,,,,,,3.22,1.78,,,,,,,,2.63,2.13,,,,,,,442.20,,,85.98,,
41019,55.90,,,2231.25,,,,,,,,,,,,,5.94,3.28,,,,,4.48,4.22,,2.22,1.80,,,,,,,561.25,,,,,
41021,29.30,,,,,,,,,,,,,,,,4.18,2.31,,,,,,,,,,,,,,,,,,,42.17,,
41023,,,,,,,,,,,,,,,,,2.49,1.38,,,,,,,,2.46,2.00,,,,,,,,,,,,
41025,,,,,,,,,,,,,,,,,3.58,1.98,,,,,,,,1.81,1.47,,,,,,,,,,,,
41027,,,,,,,,,,,,,,,,,2.48,1.37,,1.87,0.97,,3.68,3.47,,2.31,1.88,,,,,,,689.83,,,,,
41029,,117.86,53.86,,2400.00,,,,2231.25,,223.35,98.24,,,,,4.12,2.28,4.09,,,2.92,,,,2.30,1.86,,,,,,,561.25,,,,,
41031,89.90,,,,,,,,,,,,,,,,4.53,2.51,,,,,,,,3.89,3.16,,,,,,,,,,,135.64,72.84
41033,,,,,,,,,,,169.15,74.40,,,,3.32,,,,,,,,,,1.83,1.49,,,,,,,561.25,,,,,
41035,,120.13,46.01,,,,,,,,,,,,,,4.57,2.52,,,,,,,,2.52,2.04,,,,,107.98,87.30,433.60,,,,,
41037,,,,,,,,,,,,,,,,,4.07,2.25,,,,,,,,2.03,1.65,,,,151.00,,,442.20,,,,,
41039,69.16,,,,2231.25,,,,,,140.58,61.83,23.76,,,,4.33,2.39,,,,,,,,2.46,2.00,,,,82.80,,,367.60,32.70,35.73,92.59,,
41041,,,,,,,,,,,,,,,,,,,,,,2.69,,,,28.85,23.44,,,,,,,367.60,,,,,
41043,48.72,,,,,,,,,,,,,28.24,16.55,,4.51,2.49,,6.06,3.13,,5.74,5.41,,2.43,1.97,,,,91.12,,,367.60,32.70,35.73,91.43,,
41045,85.37,,,,2400.00,,,,2231.25,,189.71,83.44,,28.06,16.45,,5.04,2.78,,7.78,4.02,,4.54,4.28,,2.01,1.64,,,,106.31,,,470.00,32.70,37.93,,117.76,59.96
41047,,114.41,52.28,,,,,,,134.31,,,23.68,,,,3.59,1.99,,11.78,6.08,,9.32,8.78,,2.85,2.32,,,,78.09,,,367.60,32.70,35.73,,136.50,79.53
41049,38.36,,,,,,,,,,254.03,111.73,,31.56,18.50,,5.47,3.03,,,,,,,4.15,,,,,,,,,697.20,,,,126.21,39.27
41051,,,,,,,,,,110.37,,,13.23,,,,3.80,2.10,,10.22,5.28,1.93,,,,1.81,1.47,,,,73.56,,,367.60,,,92.73,,
41053,75.34,,,,,,,,,,,,,25.64,15.03,3.45,,,3.12,,,7.69,,,,2.50,2.03,,,,,91.44,73.92,367.60,,,104.68,,
41055,53.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,,
41057,,,,,,,,,,,,,,21.66,12.70,,,,8.85,,,,9.63,9.07,3.76,,,,,,,,,367.60,,,,,
41059,,78.26,38.55,,2231.25,,,,,,225.20,99.05,,17.69,10.37,,5.51,3.04,,8.15,4.21,9.11,,,,3.23,2.63,,,,,,,611.43,,,,93.05,58.39
41061,,81.72,64.65,,,,,,,,93.53,41.14,,,,,3.99,2.21,,,,,,,,2.32,1.89,,,,85.23,,,347.50,,,,97.91,72.89
41063,,123.87,38.00,,,,,,,,,,,,,,3.99,2.21,5.30,,,,4.18,3.93,,2.50,2.03,,,,113.50,,,,,,,74.18,45.54
41065,,72.12,46.36,,,,,,,,,,,,,,4.17,2.31,,,,,,,,2.74,2.23,,,,,,,689.83,,,,63.87,47.36
41067,,111.44,50.93,,,,,,,,,,,23.28,13.65,,4.94,2.73,8.16,,,4.91,,,,2.83,2.30,,,,,100.85,81.53,367.60,32.70,35.73,,159.37,92.86
41069,,,,,,,,,,,,,,,,,3.08,1.70,,,,,,,2.19,,,,,,,,,,,,,,
41071,70.00,,,2231.25,,,,,,,178.60,78.56,25.03,,,,5.24,2.90,,13.39,6.92,,5.74,5.40,,2.97,2.41,,,,80.67,,,367.60,32.70,35.73,,151.94,88.52
53001,,88.19,41.77,,2410.00,,,,2410.00,,210.00,205.00,,22.41,18.94,6.11,,,,,,,,,,,,,,,,,,658.00,,,,114.77,46.31
53003,49.87,,,1465.00,,,,,,,,,,,,0.96,,,,,,,,,2.24,,,,,,34.11,,,,,,53.96,,
53005,,,,,,,,,,,210.00,244.00,,27.66,23.38,5.59,,,12.95,,,2.56,,,,,,,,,,,,626.00,,,55.53,,
53007,,,,,,,,,,,210.00,227.18,,,,,3.22,0.90,,,,,,,,4.95,1.95,,,,,,,630.25,,,,,
53009,87.49,,,,,,,,,,,,,,,,3.30,0.93,3.96,,,7.00,,,,4.87,1.92,,,,,,,380.00,,,,,
53011,,,,,,,,,,,,,,21.12,17.85,,7.91,2.22,,,,,6.24,3.87,,4.31,1.70,,,,90.87,,,380.00,,,55.21,,
53013,72.65,,,1465.00,,,,,,,,,,,,,4.12,1.16,,,,2.00,,,,,,,,,,,,,,,79.55,,
53015,95.87,,,,,,,,,,,,23.03,,,,,,,,,6.96,,,1.96,,,,,,,,,,,,,,
53017,35.31,,,,,,,,,,210.00,209.74,,,,4.63,,,,1.00,0.60,,,,,4.23,1.67,,,,,,,622.00,,,43.99,,
53019,,,,,,,,,,,,,,,,,4.07,1.14,,,,8.49,,,1.04,,,,,,,,,,,,,,
53021,,107.46,50.90,,1668.00,,,,1668.00,,210.00,217.89,,26.62,22.50,,7.36,2.07,,7.48,4.46,8.45,,,,,,,,,,,,644.25,,,,109.98,45.99
53023,60.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.93,,
53025,35.27,,,,2427.14,,,,2427.14,,210.00,208.84,,27.02,22.84,,6.33,1.78,4.76,,,8.32,,,,6.19,2.44,,,,,,,621.50,,,67.06,,
53027,,,,,,,,,,,,,,24.28,20.53,,,,,,,,,,,3.89,1.53,,,,,,,380.00,,,,90.00,80.30
53029,97.41,,,,,,,,,,,,15.11,,,,4.72,1.33,7.00,,,6.65,,,,4.12,1.62,,,,,,,380.00,,,,,
53031,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,380.00,,,,,
53033,5.00,,,,,,,,,,,,22.46,,,0.51,,,6.61,,,7.28,,,2.31,,,,,,118.50,,,380.00,,,,,
53035,,,,,,,,,,,,,,,,2.21,,,,,,,,,1.26,,,,,,,,,380.00,,,,,
53037,,,,,,,,,,,,,,,,,4.17,1.17,,,,,,,,4.81,1.89,,,,92.15,,,630.25,,,78.40,,
53039,51.10,,,,,,,,,,,,,,,,3.34,0.94,4.58,,,2.17,,,,1.92,0.76,,,,43.56,,,630.25,,,,108.55,32.56
53041,70.06,,,,,,,,,,,,19.85,,,,6.16,1.73,4.03,,,4.36,,,,4.67,1.84,,,,85.09,,,380.00,,,69.59,,
53043,,117.01,55.42,,2700.00,,,,1780.00,,,,,,,,5.20,1.46,6.30,,,8.49,,,,4.14,1.63,,,,,,,,,,,92.07,60.96
53045,,,,,,,,,,,,,,,,,,,,,,1.52,,,2.20,,,,,,,,,380.00,,,,,
53047,,100.51,28.18,,,,,,,,,,,21.20,17.92,,3.87,1.09,4.40,,,4.28,,,,3.89,1.53,,,,,83.33,54.59,630.25,,,43.66,,
53049,,,,,,,,,,,,,,,,,,,4.08,,,,9.54,5.91,,,,,,,,,,380.00,,,,,
53051,,,,,,,,,,,,,,,,,3.92,1.10,,,,0.96,,,1.47,,,,,,,,,427.00,,,,,
53053,,,,,,,,,,71.00,,,11.29,,,,4.32,1.21,,,,,,,2.22,,,,,,,,,380.00,,,,,
53055,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,,,380.00,,,,,
53057,,71.09,75.12,,,,,,,,,,,27.87,23.56,3.32,,,,8.05,4.80,,13.77,8.53,,6.71,2.64,,,,60.09,,,386.00,,,76.31,,
53059,,,,,,,,,,,,,,,,1.54,,,,,,,,,1.59,,,,,,,,,380.00,,,,,
53061,64.28,,,1765.00,,,,,,,,,,26.54,22.43,3.20,,,4.40,,,10.63,,,2.25,,,,,,50.00,,,,,,65.79,,
53063,,95.52,60.99,1765.00,,,,,,,,,,,,,6.12,1.72,,7.94,4.73,,2.67,1.65,,5.39,2.12,,,,50.44,,,427.00,,,,66.33,64.80
53065,,76.67,48.96,,,,,,,,,,,,,,5.50,1.55,3.38,,,1.59,,,,3.72,1.46,,,,42.87,,,427.00,,,47.47,,
53067,,,,,,,,,,,,,,,,2.26,,,,3.74,2.23,,12.01,7.45,2.03,,,,,,,,,380.00,,,,,
53069,,,,,,,,,,,,,,,,,,,,,,5.74,,,1.95,,,,,,,,,380.00,,,,,
53071,,86.38,68.80,,2700.00,,,,1682.50,,210.00,216.57,,,,,6.76,1.90,,,,,,,,3.68,1.45,,,,,,,701.33,,,,125.79,69.42
53073,,,,,1765.00,,,,,,,,,25.60,21.64,2.28,,,,14.60,8.71,,16.20,10.04,,4.99,1.97,,,,87.25,,,363.67,,,,,
53075,,91.26,72.69,1448.33,,,,,,,,,,,,,6.32,1.78,,,,,,,,4.34,1.71,1262.50,,,,,,,,,77.14,,
53077,108.03,,,,2700.00,,,,1670.00,,210.00,205.16,,27.52,23.26,,5.26,1.48,11.96,,,9.12,,,,3.93,1.55,,,,,,,334.67,,,,104.81,27.04
